Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016
Armenia,ARM,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,125.460519845451,121.29722514928,118.180892167194,116.177766069547,115.164559185107,114.024903407095,112.694099051633,111.249947312961,113.140147523709,112.813487881981,112.391991570074,111.784334387074,111.166139796277,110.516332982086,109.838426413769,109.146469968388,108.433438707411,107.692307692308,106.947664207938,106.354056902002,106.220583069898,106.146821215314,105.858798735511,105.535651563049,105.103617843344
American Samoa,ASM,Population density (people per sq. km of land area),EN.POP.DNST,,103.33,106.49,109.83,113.365,117.03,120.68,124.315,128.07,131.875,135.13,137.665,139.975,142.18,144.375,146.95,149.795,152.605,155.38,158.055,162.015,167.92,174.545,181.355,188.335,195.515,202.855,210.36,218.075,225.955,233.2,239.41,245.19,250.795,256.255,261.58,266.765,271.81,276.67,281.24,284.275,285.265,285.31,284.855,284.09,283.085,281.87,280.565,279.14,277.64,276.14,274.475,272.445,270.03,267.33,264.39,261.225
Antigua and Barbuda,ATG,Population density (people per sq. km of land area),EN.POP.DNST,,128.5,130.309090909091,132.131818181818,134.136363636364,136.295454545455,138.409090909091,140.538636363636,142.747727272727,145.043181818182,146.654545454545,147.111363636364,146.852272727273,146.231818181818,145.586363636364,145.088636363636,144.913636363636,145.140909090909,145.540909090909,146.077272727273,146.620454545455,146.965909090909,147.238636363636,147.577272727273,147.459090909091,146.797727272727,146.081818181818,145.331818181818,144.597727272727,143.920454545455,143.331818181818,144.061363636364,146.372727272727,149.061363636364,151.915909090909,154.975,158.209090909091,161.484090909091,164.572727272727,167.422727272727,170.254545454545,172.884090909091,175.072727272727,177.009090909091,178.906818181818,180.934090909091,183.190909090909,185.690909090909,188.436363636364,191.302272727273,193.909090909091,196.209090909091,198.318181818182,200.145454545455,201.738636363636,203.202272727273,204.475
Australia,AUS,Population density (people per sq. km of land area),EN.POP.DNST,,1.36456529945459,1.39827916118871,1.42535438605626,1.45360113507673,1.48236856149851,1.51660310063392,1.53586816448199,1.56320372805019,1.59626674303269,1.62802806451193,1.68400088515158,1.71524152922953,1.74166590734546,1.78631399450685,1.80844278406206,1.82666649310753,1.84736341980917,1.86897153196308,1.88927795061375,1.91244809497156,1.94255105892766,1.97652356716088,2.00375824948258,2.02795920492561,2.05515431576481,2.08509821277482,2.11705791234396,2.15198104734259,2.18872160681046,2.22135662496908,2.24985173710998,2.27518256251383,2.2955115004621,2.31772620178853,2.34368379261419,2.37230608021035,2.39811475729925,2.42213712039363,2.44878018301811,2.47696679379873,2.50897530687424,2.53767882014501,2.5670355232157,2.5946294729443,2.62640667508428,2.66208895773401,2.71111802454994,2.76599442875181,2.8235883784804,2.86785858401781,2.90798641031983,2.95920036968095,3.01057352615753,3.05581479504836,3.10011259648803,3.14493553058884
Austria,AUT,Population density (people per sq. km of land area),EN.POP.DNST,,85.8737154629181,86.4016480853127,86.9584464372273,87.5400024236549,88.1106277266117,88.7308046534174,89.3964857004363,89.8618880271449,90.1727460009695,90.4881968007756,90.8928986912264,91.422697527872,91.930622879302,92.0872273388269,91.843225884634,91.6811076102763,91.7163111972855,91.6420867668444,91.4860033931168,91.4861003393117,91.7197043141057,91.7855065438682,91.6373000484731,91.6315317498788,91.6745637421231,91.7328405235095,91.7909112942317,91.9209524963645,92.3360033931168,93.0422927775085,93.9758967523025,95.0158628211343,95.8026296655356,96.1720552593311,96.3194134755211,96.4495516238488,96.5589069316529,96.6649175957344,96.8531749878817,97.0863548230732,97.4587130392632,97.9393722733883,98.4176320891905,99.0301260300533,99.7070891904993,100.201660203587,100.526987396995,100.842171594765,101.106677169171,101.350024236549,101.692232186137,102.156943771207,102.760821619001,103.567086766844,104.734597673291,105.873339796413
Azerbaijan,AZE,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88.7084369780213,90.0633284064554,91.2860353052862,92.3471165747383,93.2862275736929,94.1904899239338,95.2317912675107,96.5207665800133,97.434779976999,98.1937920681807,98.9124645960929,99.6237235638581,100.475372556609,101.522501814662,102.672531674674,103.853368672016,106.059762547351,108.291290455327,109.542344173442,110.976336228798,112.460790244138,113.923480806688,115.348813858679,116.731076781631,118.033288980283
Burundi,BDI,Population density (people per sq. km of land area),EN.POP.DNST,,110.401830218069,113.23765576324,115.648014018692,118.989485981308,122.327375389408,125.309968847352,128.531542056075,131.635007788162,134.52453271028,137.477881619938,140.860163551402,140.853894080997,140.653855140187,144.220794392523,147.843146417445,151.192601246106,155.123909657321,159.670482866044,163.688862928349,170.705062305296,177.804283489097,182.297118380062,187.247975077882,191.840537383178,196.029672897196,199.743535825545,204.353076323988,208.930179127726,213.072663551402,217.564330218069,222.11281152648,228.131113707165,221.060864485981,222.502102803738,236.227258566978,236.390420560748,236.372352024922,240.930996884735,246.773948598131,251.954595015576,258.347546728972,265.73722741433,274.266121495327,284.682866043614,295.455568535826,306.290771028037,317.829984423676,331.216394080997,348.428582554517,365.126323987539,378.425934579439,392.173987538941,406.516394080997,420.552375389408,430.201713395639,437.673325545171
Belgium,BEL,Population density (people per sq. km of land area),EN.POP.DNST,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,337.957010516599,339.121418916691,340.64500708799,342.074077737118,343.557742392774,345.452708271519,347.738700425279,350.301651666502,353.079912966077,355.932252002769,359.199090099891,363.902812118814,366.166617215574,367.896581281113,369.533412455082,371.680875614018,373.567467774371
Benin,BEN,Population density (people per sq. km of land area),EN.POP.DNST,,22.6961954593828,23.0991397658744,23.5270308620078,23.9801614047535,24.458460446967,24.9584693153601,25.4788666193686,26.0221443774388,26.5894111387017,27.1821301880099,27.8003458673288,28.4457520397304,29.1193330968429,29.8211511174175,30.5552234835048,31.3249024476765,32.1319794253281,32.9753902092941,33.8642071656616,34.8106686768358,35.8132937211777,36.8623270663356,37.9476587442355,39.0732085846045,40.2448740688187,41.4634622206456,42.7322277403334,44.0523323873714,45.42086732884,46.8382316424264,48.3055338772614,49.821248669741,52.0814650585314,54.0662114224902,55.2214703795672,56.6855090457609,58.3838683930472,60.2118570415041,62.1037424618659,64.0441557289819,66.0304717985101,68.0686945725434,70.1762149698475,72.3580525008868,74.7263568641362,77.0950869102519,79.4073164242639,81.8416637105357,84.3333008158922,86.8879389854558,89.5142160340546,92.2105090457609,94.9701489890032,97.8184107839659,100.750984391628,103.741060659808
Burkina Faso,BFA,Population density (people per sq. km of land area),EN.POP.DNST,,17.7201169590643,17.9812573099415,18.2515460526316,18.534480994152,18.8334539473684,19.1444919590643,19.4676461988304,19.804985380117,20.1505007309942,20.5054970760234,20.8625694444444,21.2252704678363,21.6079203216374,22.0208479532164,22.4691849415205,22.9555372807018,23.4968347953216,24.0898538011696,24.7218676900585,25.3943713450292,26.0974817251462,26.8282054093567,27.5991557017544,28.4073684210526,29.2395285087719,30.0761951754386,30.9104861111111,31.7523209064328,32.6066337719298,33.4771783625731,34.3371052631579,35.1947185672515,36.0808223684211,37.0021856725146,37.9631652046784,38.9471564327485,39.9642653508772,41.084298245614,42.3060233918129,43.5875219298246,44.9378691520468,46.348307748538,47.8162719298246,49.3440533625731,50.9215021929825,52.5354788011696,54.1531688596491,55.7678837719298,57.419831871345,59.1246271929825,60.8987865497076,62.764206871345,64.6762024853801,66.6281469298246,68.6311659356725,70.6683333333333
